name;money;skill;cheat;awarness
Invest372;3197;99;97;20
Invest899;92;19;3;50
Invest127;99;20;39;21
Invest434;2007;77;80;99
Invest925;54;2;56;70
Invest365;69;19;9;54
Invest141;58;6;89;82
Invest535;653;43;71;49
Invest296;100;20;63;78
Invest473;85;12;78;2
Invest85;456;29;77;98
Invest918;100;7;16;53
Invest972;86;21;47;84
Invest191;1636;98;11;96
Invest397;2052;72;86;10
Invest730;1821;61;99;100
Invest121;2386;99;52;15
Invest580;2242;94;55;7
Invest139;1935;86;60;49
Invest598;1815;80;70;46
Invest274;957;43;68;49
Invest301;625;38;53;82
Invest950;315;28;28;80
Invest824;86;12;87;84
Invest46;870;60;16;24
Invest947;1395;88;35;55
Invest900;91;15;40;28
Invest658;1658;98;39;29
Invest935;668;37;71;5
Invest50;74;20;20;1
Invest187;880;44;70;10
Invest906;768;38;70;98
Invest33;469;37;36;8
Invest352;513;35;33;30
Invest437;66;6;61;49
Invest692;813;39;82;48
Invest99;2149;84;65;8
Invest461;1571;65;86;65
Invest24;79;10;32;42
Invest165;535;33;46;78
Invest608;99;2;90;39
Invest412;1286;62;59;28
Invest726;1636;66;95;78
Invest281;336;28;43;38
Invest532;1286;88;3;23
Invest393;791;51;34;44
Invest816;1564;61;79;65
Invest842;1372;53;97;57
Invest871;1581;98;7;24
Invest495;100;4;94;12
Invest922;93;11;79;4
Invest82;51;10;33;65
Invest78;577;44;42;51
Invest599;99;21;68;51
Invest557;75;16;20;66
Invest723;268;25;12;83
Invest975;2291;73;80;68
Invest968;541;38;41;23
Invest682;79;18;83;83
Invest839;57;3;32;87
Invest333;80;21;61;17
Invest596;1229;65;52;7
Invest166;71;23;48;50
Invest336;1205;70;34;84
Invest737;3172;98;83;56
Invest792;837;55;20;60
Invest264;822;57;4;85
Invest409;1602;95;31;43
Invest640;859;53;34;34
Invest672;995;61;22;52
Invest21;1609;99;14;73
Invest235;600;29;82;64
Invest798;1078;48;81;38
Invest134;426;25;70;67
Invest228;370;29;44;62
Invest367;507;37;42;73
Invest229;3060;100;94;51
Invest928;1461;57;94;65
Invest639;58;6;28;97
Invest81;357;28;63;84
Invest820;481;36;33;29
Invest778;1788;99;50;51
Invest704;554;30;54;64
Invest853;2489;91;57;88
Invest55;612;42;43;53
Invest607;1149;73;31;87
Invest14;1715;61;92;75
Invest528;1681;100;8;99
Invest345;836;54;80;49
Invest720;71;19;52;7
Invest734;496;31;87;32
Invest965;1255;80;21;31
Invest614;1373;83;4;31
Invest685;361;21;69;29
Invest574;2079;87;78;17
Invest413;540;37;12;19
Invest991;479;34;35;49
Invest240;188;23;13;95
Invest520;1032;49;54;35
Invest252;486;38;21;15
Invest701;1037;53;94;2
Invest850;1024;67;32;58
Invest30;3049;98;74;35
Invest265;373;33;17;31
Invest162;1210;48;94;83
Invest673;665;30;70;78
Invest158;891;50;56;72
Invest124;1376;61;92;31
Invest875;3299;94;93;33
Invest271;680;51;23;8
Invest643;83;23;50;66
Invest396;1019;65;5;38
Invest442;655;49;32;92
Invest211;1601;93;42;50
Invest498;1107;65;12;42
Invest997;1225;73;17;49
Invest636;787;53;23;20
Invest102;2862;94;91;39
Invest709;1070;68;16;3
Invest459;360;37;46;43
Invest514;2400;92;78;51
Invest340;608;38;67;24
Invest394;1321;76;19;28
Invest770;379;21;95;41
Invest232;1367;65;79;16
Invest105;1521;96;24;97
Invest7;655;43;67;64
Invest368;1933;78;67;35
Invest744;2656;81;100;52
Invest8;1548;94;4;17
Invest469;1318;62;62;36
Invest615;3046;97;74;35
Invest845;534;40;26;47
Invest311;700;40;59;17
Invest131;1015;70;31;27
Invest507;2945;97;91;17
Invest56;2380;86;73;15
Invest716;1374;87;44;91
Invest289;1722;68;82;48
Invest542;1058;71;19;43
Invest210;1387;86;11;67
Invest17;381;24;90;38
Invest665;968;48;90;68
Invest456;1113;71;1;80
Invest43;719;30;94;75
Invest307;1039;49;67;85
Invest170;489;37;49;82
Invest406;1363;86;5;78
Invest144;2054;78;55;77
Invest267;2770;78;96;8
Invest581;704;52;15;14
Invest355;1781;72;63;70
Invest766;1575;95;45;81
Invest194;2748;98;94;89
Invest464;242;26;39;33
Invest538;1670;95;7;97
Invest4;3345;85;96;68
Invest476;792;48;4;31
Invest903;445;34;43;46
Invest910;457;24;80;78
Invest867;678;35;59;44
Invest651;509;20;93;8
Invest741;967;65;2;5
Invest117;1417;57;86;34
Invest942;748;49;38;51
Invest566;889;58;11;91
Invest759;2275;79;91;34
